snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T08:00:00+02:00,2026-09-23T09:00:00+02:00,Physical Flow,hour,10339444,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T11:08:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T09:00:00+02:00,2026-09-23T10:00:00+02:00,Physical Flow,hour,10341667,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T12:10:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T10:00:00+02:00,2026-09-23T11:00:00+02:00,Physical Flow,hour,10326667,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T13:05:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T11:00:00+02:00,2026-09-23T12:00:00+02:00,Physical Flow,hour,10363056,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T13:36:29+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T12:00:00+02:00,2026-09-23T13:00:00+02:00,Physical Flow,hour,10364722,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T14:40:29+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T13:00:00+02:00,2026-09-23T14:00:00+02:00,Physical Flow,hour,10327778,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T16:48:30+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T14:00:00+02:00,2026-09-23T15:00:00+02:00,Physical Flow,hour,10319722,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T16:48:30+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T15:00:00+02:00,2026-09-23T16:00:00+02:00,Physical Flow,hour,10332222,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T17:44:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T16:00:00+02:00,2026-09-23T17:00:00+02:00,Physical Flow,hour,10333056,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T19:29:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T17:00:00+02:00,2026-09-23T18:00:00+02:00,Physical Flow,hour,10358889,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T19:29:09+02:00
