snapshot_utc,series,terminal,sub,epoch_ms,time_label,value_mcm_d
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379880000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380000000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380120000.0,,3.23759948713705
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380240000.0,,3.23759948713705
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380360000.0,,3.2570456541292403
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380480000.0,,3.2570456541292403
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380600000.0,,3.22111926252767
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380720000.0,,3.22111926252767
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380840000.0,,3.23891784651205
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789380960000.0,,3.23891784651205
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381080000.0,,3.2567160642854898
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381200000.0,,3.2567160642854898
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381320000.0,,3.2567160642854898
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381440000.0,,3.2567160642854898
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381560000.0,,3.2379290769808
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381680000.0,,3.2379290769808
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381800000.0,,3.2553977049104903
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789381920000.0,,3.2553977049104903
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789382040000.0,,3.1980476072542396
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789382160000.0,,3.1980476072542396
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789382280000.0,,3.1980476072542396
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789382400000.0,,3.1980476072542396
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789382520000.0,,3.1980476072542396
